seq,edge_id,point_index,x,y,lon,lat
95,E11,0,827.24,1257.14,145.1360043257529,-37.9091685843872
95,E11,1,820.09,1259.91,145.13592366134796,-37.909142343583405
96,E12,0,817.91,1258.4,145.1358985318454,-37.909155553357735
96,E12,1,818.78,1163.11,145.1358867581106,-37.910014106865866
97,E13,0,813.06,1156.99,145.1358203304786,-37.91006820696668
97,E13,1,806.0,1157.92,145.13574027007908,-37.91005855742014
98,-988580237#0,0,800.22,1152.86,145.13567340114315,-37.91010309787413
98,-988580237#0,1,800.2,1147.6,145.13567197764414,-37.91015047769119
98,-988580237#0,2,800.19,1144.6,145.13567118175692,-37.9101775006538
99,E1,0,793.69,1141.59,145.1355965924688,-37.91020344442047
99,E1,1,788.3,1142.33,145.13553547660203,-37.91019580718177
100,E2,0,783.34,1142.99,145.13547923164262,-37.91018896804988
100,E2,1,758.27,1146.19,145.13519491438288,-37.91015562415998
101,E3,0,753.51,1146.45,145.1351408525004,-37.91015242421035
101,E3,1,735.6,1146.11,145.13493713915133,-37.91015225921513
102,E4,0,730.82,1145.59,145.13488267244452,-37.91015608197819
102,E4,1,730.63,1145.53,145.1348804985024,-37.91015658822789
103,E5,0,725.36,1150.66,145.13482174588063,-37.91010942602994
103,E5,1,725.41,1159.29,145.13482427769037,-37.91003169384003
104,E6,0,725.42,1163.12,145.1348252627066,-37.909997194042546
104,E6,1,725.41,1163.32,145.13482519450676,-37.90999539058998
105,E7,0,725.4,1167.16,145.13482595439774,-37.909960797104894
105,E7,1,725.33,1198.01,145.13483217674857,-37.90968287994622
106,E0,0,725.31,1203.01,145.13483308682095,-37.90963783508533
106,E0,1,725.28,1214.73,145.13483541194506,-37.909532252972426
107,-11294993,0,719.76,1220.32,145.13477392201878,-37.90948090190391
107,-11294993,1,684.6,1220.84,145.13437427625803,-37.90946987947616
107,-11294993,2,659.26,1221.26,145.13408625982487,-37.909461527241454
108,-11294994,0,654.26,1221.34,145.1340294287889,-37.9094599050047
108,-11294994,1,648.74,1221.43,145.13396668771176,-37.90945809888968
108,-11294994,2,591.39,1222.4,145.13331484796635,-37.90943901749627
108,-11294994,3,583.12,1222.54,145.13322085126592,-37.909436264503555
108,-11294994,4,516.81,1223.48,145.1324671315525,-37.90941583227704
109,310292423,0,508.32,1232.61,145.13237268142632,-37.90933205483457
109,310292423,1,510.64,1272.37,145.13240811617652,-37.90897430593674
109,310292423,2,511.71,1273.35,145.13242050504985,-37.908965670966936
110,63906910#0,0,515.4,1276.73,145.13246322935828,-37.9089358890479
110,63906910#0,1,516.72,1277.92,145.13247850849058,-37.908925407457936
110,63906910#0,2,530.99,1277.85,145.13264073897565,-37.90892861317009
110,63906910#0,3,537.38,1325.85,145.13272432343965,-37.90849737061731
110,63906910#0,4,538.3,1333.38,145.13273649843748,-37.908429704557605
110,63906910#0,5,538.73,1336.25,145.13274204101074,-37.90840392849059
110,63906910#0,6,539.93,1339.08,145.13275632911893,-37.90837865168945
110,63906910#0,7,541.32,1341.22,145.13277262031752,-37.908359624856324
111,63906910#1,0,547.55,1346.48,145.1328446512055,-37.9083133655875
111,63906910#1,1,547.7,1346.59,145.1328463817049,-37.90831240174494
111,63906910#1,2,553.93,1347.93,145.13291751985375,-37.90830145474268
111,63906910#1,3,560.18,1348.22,145.13298864628345,-37.9082999699611
111,63906910#1,4,567.6,1348.45,145.13307306155633,-37.90829923670671
111,63906910#1,5,572.66,1349.58,145.13313084934484,-37.90828997022994
111,63906910#1,6,573.97,1350.23,145.13314589160018,-37.90828435119429
112,4577074#0,0,582.26,1346.03,145.1332391898547,-37.90832368129179
112,4577074#0,1,583.11,1344.91,145.13324859907542,-37.90833392385735
113,4577074#1,0,585.2,1342.16,145.13327173558355,-37.908359073542385
113,4577074#1,1,585.32,1342.0,145.1332730635167,-37.908360536508034
114,4577074#2,0,590.27,1337.06,145.13332821873058,-37.908405930141704
114,4577074#2,1,594.82,1333.43,145.13337912437296,-37.9084394507985
114,4577074#2,2,599.29,1330.87,145.13342936407773,-37.90846331818149
114,4577074#2,3,603.94,1329.85,145.13348200094015,-37.9084733453109
114,4577074#2,4,613.76,1330.06,145.13359369913283,-37.90847322473066
114,4577074#2,5,640.42,1329.79,145.133896753749,-37.9084804648656
114,4577074#2,6,645.13,1329.46,145.13395022991622,-37.908484286915694
114,4577074#2,7,649.94,1328.26,145.13400464506051,-37.90849596414969
114,4577074#2,8,683.0,1318.29,145.13437825881508,-37.90859173707701
114,4577074#2,9,694.24,1314.73,145.1345052444498,-37.908625832739645
114,4577074#2,10,705.11,1310.2,145.13462780272164,-37.908668599577176
114,4577074#2,11,709.09,1306.42,145.13467219427835,-37.908703368184085
114,4577074#2,12,711.6,1301.72,145.13469966305428,-37.90874615939992
115,405414870#0,0,711.77,1301.19,145.1347014753342,-37.90875096441601
115,405414870#0,1,712.4,1296.78,145.13470763498918,-37.90879080436458
115,405414870#0,2,712.48,1292.07,145.13470747303344,-37.9088332476509
115,405414870#0,3,712.45,1283.05,145.13470507986364,-37.90891449667436
115,405414870#0,4,711.82,1274.15,145.13469589211675,-37.90899455655545
116,405414870#2,0,713.35,1263.87,145.1347109491443,-37.90908743716542
116,405414870#2,1,714.94,1260.91,145.13472835371283,-37.90911438818735
117,405414870#3,0,719.73,1251.95,145.13478077668933,-37.90919596550403
117,405414870#3,1,725.09,1241.92,145.13483943716497,-37.90928728436524
118,E14,0,728.22,1228.14,145.13487188995995,-37.90941198221971
118,E14,1,728.23,1227.94,145.13487195816094,-37.90941378567242
119,-11294993,0,719.76,1220.32,145.13477392201878,-37.90948090190391
119,-11294993,1,684.6,1220.84,145.13437427625803,-37.90946987947616
119,-11294993,2,659.26,1221.26,145.13408625982487,-37.909461527241454
120,-11294994,0,654.26,1221.34,145.1340294287889,-37.9094599050047
120,-11294994,1,648.74,1221.43,145.13396668771176,-37.90945809888968
120,-11294994,2,591.39,1222.4,145.13331484796635,-37.90943901749627
120,-11294994,3,583.12,1222.54,145.13322085126592,-37.909436264503555
120,-11294994,4,516.81,1223.48,145.1324671315525,-37.90941583227704
121,310292423,0,508.32,1232.61,145.13237268142632,-37.90933205483457
121,310292423,1,510.64,1272.37,145.13240811617652,-37.90897430593674
121,310292423,2,511.71,1273.35,145.13242050504985,-37.908965670966936
