sim_time,phone_lat,phone_lon,gps_x,gps_y,keep0_sumo_x,keep0_sumo_y,keep1_sumo_x,keep1_sumo_y
236,-37.91469742,145.1348639,739.2517464,641.6276054,738.2139055,641.9591924,735.369365,633.0560047
237,-37.91465446,145.1348869,741.1763823,646.434862,739.4644912,646.7511351,738.2139055,641.9591924
238,-37.91463499,145.1348927,741.6430699,648.606155,739.712153,648.613941,739.4644912,646.7511351
239,-37.9146077,145.1349026,742.4555257,651.6509244,743.8520086,654.9420509,739.712153,648.613941
240,-37.91455247,145.1349135,743.2910961,657.7995446,741.6654975,656.1462055,739.7199956,650.5588965
241,-37.91447835,145.1348901,741.066749,665.982172,736.8052169,665.2613552,736.4385479,657.7214973
242,-37.91439533,145.1349159,743.1492079,675.2399698,741.4252692,677.1020867,736.3450752,665.9283944
243,-37.9143628,145.1350414,754.1138318,679.0711049,754.5135147,680.0481076,741.4252692,677.1020867
244,-37.91440527,145.1351659,765.1558434,674.5767566,764.9406453,671.7791811,754.5135147,680.0481076
245,-37.9144425,145.1352763,774.9447453,670.6401971,774.5697248,669.3318188,764.9406453,671.7791811
246,-37.91446384,145.1353978,785.6688492,668.4863715,785.1746243,666.258974,774.5697248,669.3318188
247,-37.91447915,145.1355353,797.7938649,667.0290886,797.5826139,664.8653661,784.9843028,666.3186412
248,-37.91450583,145.135738,815.6687381,664.4244171,815.3241741,662.1589089,797.5826139,664.8653661
249,-37.91453269,145.1358861,828.7490501,661.704813,828.5116521,660.1362905,815.3241741,662.1589089
250,-37.91455291,145.1360446,842.725001,659.7390838,842.1100853,658.1904073,828.5116521,660.1362905
251,-37.91457403,145.1362027,856.6711967,657.6733385,855.5515042,657.8777767,842.4597249,658.0076198
252,-37.91458957,145.1363286,867.7761647,656.1710902,866.9814964,656.3154492,856.3971967,655.8743871
253,-37.91460225,145.1364219,876.0086986,654.9276203,875.5524914,653.1561143,867.4873435,654.2053378
254,-37.91460829,145.1364915,882.1383675,654.3801016,882.121152,652.3056336,875.7247519,652.995044
255,-37.91458745,145.1365606,888.1683604,656.8140152,886.8490979,657.0715306,882.121152,652.3056336
256,-37.91450587,145.1366032,891.7271466,665.9409448,888.6958732,666.5326388,886.8490979,657.0715306
257,-37.91439749,145.1366188,892.8653297,677.9951781,891.0042317,678.3584579,888.6958732,666.5326388
258,-37.91430354,145.1366329,893.8952704,688.4452939,893.1207683,688.7488987,891.0042317,678.3584579
259,-37.91420269,145.1366554,895.648411,699.6755173,895.5773045,699.6907544,893.1189978,688.606806
260,-37.91410451,145.1366901,898.479576,710.6308121,897.956115,710.7434824,895.5773045,699.6907544
261,-37.91401054,145.1367275,901.5608395,721.1242645,900.2511613,721.4061611,897.956115,710.7434824
262,-37.91391969,145.1367461,902.9905257,731.2381093,902.3949906,731.3662929,900.2511613,721.4061611
263,-37.91383518,145.1367575,903.8099346,740.6353659,903.32005,740.5586173,902.3949906,731.3662929
264,-37.91375156,145.1367129,899.6991534,749.8355857,900.7467486,750.9252718,903.32005,740.5586173
265,-37.91370024,145.1366138,890.8750606,755.3563315,890.5127167,754.1512793,898.523711,748.6382746
266,-37.91367022,145.1364904,879.9648026,758.4706121,879.6409557,757.3181727,890.5127167,754.1512793
267,-37.91364313,145.1363627,868.6735387,761.2527653,868.72,760.03,879.6409557,757.3181727
268,-37.91361768,145.1362254,856.5511045,763.8356311,856.4982631,763.651191,868.4213916,760.3309482
269,-37.91358393,145.136091,844.655996,767.3441,844.558315,766.9840209,856.4982631,763.651191
270,-37.91355001,145.1359659,833.5840171,770.8879763,833.3497528,770.0242457,844.558315,766.9840209
271,-37.91352913,145.1358587,824.1168585,773.0163424,824.3753175,772.1075674,833.3497528,770.0242457
272,-37.91349617,145.1357206,811.9035168,776.4313586,811.7789935,775.9916837,823.9933727,772.5715967
273,-37.91347368,145.1356335,804.1953286,778.7736807,804.0280909,778.196441,811.7789935,775.9916837
274,-37.91345234,145.1355686,798.4379702,781.0272013,798.0607187,779.9111655,804.0280909,778.196441
275,-37.91342241,145.1355133,793.5097892,784.2512443,794.1059542,785.3911118,798.0607187,779.9111655
276,-37.91335528,145.1354494,787.7442255,791.5875802,787.8163525,792.8714409,792.6308318,782.6437816
277,-37.91325595,145.1354529,787.8362818,802.6161975,790.1111583,801.3074584,785.7022919,792.1717283
278,-37.91315209,145.1354985,791.6140158,814.2208825,796.1216147,811.3637657,790.1111583,801.3074584
279,-37.9130696,145.1355809,798.6758517,823.5194379,802.3502134,821.1904639,796.1216147,811.3637657
280,-37.9129777,145.1356719,806.4698792,833.8770745,809.267559,832.1037805,802.3502134,821.1904639
281,-37.91287863,145.1357563,813.6653373,845.0195228,816.368223,843.3063136,809.267559,832.1037805
282,-37.91277601,145.1358252,819.4929534,856.5276061,820.1331905,856.2676856,816.368223,843.3063136
283,-37.91267204,145.1358772,823.837626,868.1555302,824.2960212,867.5376932,820.1331905,856.2676856
284,-37.91257793,145.135928,828.0932371,878.6880895,829.0359718,878.3456201,824.8005651,867.7646123
285,-37.91248943,145.1359775,832.2535271,888.5958373,832.700594,888.4334303,829.0359718,878.3456201
286,-37.91238389,145.1360222,835.9432082,900.3847713,836.9325496,900.021629,832.700594,888.4334303
287,-37.91228689,145.1360723,840.1324388,911.2368877,840.9667873,910.9259253,836.9325496,900.021629
288,-37.91219956,145.1361157,843.759441,921.0039853,844.525983,920.7473422,840.9667873,910.9259253
289,-37.91212232,145.1361538,846.9352883,929.6420427,847.4466622,929.4708315,844.525983,920.7473422
290,-37.9120181,145.1361952,850.3435773,941.2793507,851.2937222,940.9612362,847.4466622,929.4708315
291,-37.91192095,145.1362481,854.7799524,952.1529454,855.0144868,952.0744218,851.2937222,940.9612362
292,-37.91175701,145.1363242,861.1006799,970.4776026,861.168397,970.4549305,855.0144868,952.0744218
293,-37.91165043,145.136361,864.10238,982.3694652,865.0511102,982.0518244,861.168397,970.4549305
294,-37.91154888,145.1364007,867.370369,993.707813,868.4908359,993.5354335,865.0511102,982.0518244
295,-37.91144241,145.1364272,869.460414,1005.568589,870.2101174,1005.460579,868.4908359,993.5354335
